Type	B_Start	B_End	B_Peak	C_Index	C_Beg	C_End	C_Peak
BAS	126	237	0	-1	0	0	0	
BAS	237	594	0	-1	0	0	0	
BAS	701	1048	0	-1	0	0	0	
gradualdecel	1049	2411	1424	-1	0	0	0	
accel	2412	2496	2453	-1	0	0	0	
BAS	2497	3290	0	-1	0	0	0	
accel	3291	3459	3375	-1	0	0	0	
BAS	3460	3516	0	-1	0	0	0	
gradualdecel	3517	4119	3925	0	3452	3788	3636	
BAS	4120	4622	0	-1	0	0	0	
BAS	4622	5314	0	-1	0	0	0	
BAS	5446	6275	0	-1	0	0	0	
BAS	6275	6469	0	-1	0	0	0	
BAS	6682	6744	0	-1	0	0	0	
gradualdecel	6745	6956	6846	-1	0	0	0	
BAS	6957	7799	0	-1	0	0	0	
BAS	7820	7919	0	-1	0	0	0	
BAS	7963	8300	0	-1	0	0	0	
BAS	8437	9037	0	-1	0	0	0	
BAS	9037	9636	0	-1	0	0	0	
BAS	9790	10228	0	-1	0	0	0	
accel	10229	10314	10270	-1	0	0	0	
abruptdecel	9695	9789	9745	-1	0	0	0	
BAS	10315	10492	0	-1	0	0	0	
accel	10493	10620	10558	-1	0	0	0	
BAS	10621	10834	0	-1	0	0	0	
accel	10835	10914	10873	-1	0	0	0	
BAS	10915	11359	0	-1	0	0	0	
accel	11360	11497	11426	-1	0	0	0	
BAS	11535	11781	0	-1	0	0	0	
accel	11782	11954	11882	-1	0	0	0	
gradualdecel	11955	12368	12096	-1	0	0	0	
BAS	12738	13038	0	-1	0	0	0	
abruptdecel	13039	13108	13073	-1	0	0	0	
accel	12536	12599	12568	-1	0	0	0	
accel	12657	12737	12690	-1	0	0	0	
BAS	63960	64306	0	-1	0	0	0	
gradualdecel	63079	63252	63153	4	63072	63360	63204	
gradualdecel	62387	62918	62537	3	62516	62904	62756	
accel	64307	64439	64373	6	64188	64420	64300	
gradualdecel	63643	63959	63782	5	63528	64084	63960	
accel	13109	13267	13138	-1	0	0	0	
BAS	64653	64875	0	-1	0	0	0	
gradualdecel	64876	65028	64936	7	64572	64804	64688	
BAS	65029	65444	0	-1	0	0	0	
accel	65458	65590	65525	-1	0	0	0	
BAS	66082	66713	0	-1	0	0	0	
gradualdecel	65647	65894	65778	-1	0	0	0	
BAS	66760	66837	0	-1	0	0	0	
accel	65944	66081	66015	-1	0	0	0	
BAS	66936	67927	0	-1	0	0	0	
BAS	67927	68109	0	-1	0	0	0	
BAS	68280	68465	0	-1	0	0	0	
BAS	68489	69103	0	-1	0	0	0	
accel	68209	68279	68243	12	68028	68248	68132	
BAS	69127	69727	0	-1	0	0	0	
BAS	81688	81943	0	-1	0	0	0	
gradualdecel	81405	81675	81527	15	81136	81524	81260	
accel	81109	81404	81266	15	81136	81524	81260	
BAS	82058	82592	0	-1	0	0	0	
abruptdecel	82593	82677	82642	17	82444	82780	82604	
abruptdecel	81952	82043	81993	16	81912	82180	82060	
BAS	82678	82853	0	-1	0	0	0	
accel	82854	83051	82950	18	82896	83152	83012	
BAS	83112	83652	0	-1	0	0	0	
BAS	83668	84568	0	-1	0	0	0	
